Timestamp,Dominant_Emotion,Confidence_Score
2026-03-07 17:41:50.969,sad,0.55
2026-03-07 17:41:51.054,sad,0.42
2026-03-07 17:41:51.101,happy,0.39
2026-03-07 17:41:51.139,happy,0.59
2026-03-07 17:41:51.179,happy,0.47
2026-03-07 17:41:51.221,sad,0.53
2026-03-07 17:41:51.261,sad,0.37
2026-03-07 17:41:51.299,sad,0.47
2026-03-07 17:41:51.345,happy,0.34
2026-03-07 17:41:51.388,sad,0.39
2026-03-07 17:41:51.432,sad,0.46
2026-03-07 17:41:51.478,sad,0.41
2026-03-07 17:41:51.524,sad,0.57
2026-03-07 17:41:51.570,sad,0.46
2026-03-07 17:41:51.623,sad,0.36
2026-03-07 17:41:51.674,neutral,0.46
2026-03-07 17:41:51.743,neutral,0.67
2026-03-07 17:41:51.806,neutral,0.54
2026-03-07 17:41:51.864,neutral,0.69
2026-03-07 17:41:51.923,neutral,0.52
2026-03-07 17:41:51.989,neutral,0.62
2026-03-07 17:41:52.049,happy,0.51
2026-03-07 17:41:52.118,happy,0.99
2026-03-07 17:41:52.182,happy,0.99
2026-03-07 17:41:52.254,happy,1.0
2026-03-07 17:41:52.336,happy,1.0
2026-03-07 17:41:52.416,happy,0.99
2026-03-07 17:41:52.495,happy,1.0
2026-03-07 17:41:52.574,happy,1.0
2026-03-07 17:41:52.657,happy,0.99
2026-03-07 17:41:52.733,happy,0.99
2026-03-07 17:41:52.814,happy,1.0
2026-03-07 17:41:52.892,happy,1.0
2026-03-07 17:41:52.978,happy,0.99
2026-03-07 17:41:53.058,happy,1.0
2026-03-07 17:41:53.139,happy,0.99
2026-03-07 17:41:53.218,happy,0.99
2026-03-07 17:41:53.302,happy,0.99
2026-03-07 17:41:53.381,happy,0.99
2026-03-07 17:41:53.458,happy,0.94
2026-03-07 17:41:53.536,sad,0.33
2026-03-07 17:41:53.612,neutral,0.48
2026-03-07 17:41:53.688,sad,0.37
2026-03-07 17:41:53.760,angry,0.4
2026-03-07 17:41:53.830,angry,0.38
2026-03-07 17:41:53.897,angry,0.39
2026-03-07 17:41:53.960,angry,0.45
2026-03-07 17:41:54.021,angry,0.39
2026-03-07 17:41:54.081,angry,0.39
2026-03-07 17:41:54.139,angry,0.43
2026-03-07 17:41:54.196,sad,0.43
2026-03-07 17:41:54.253,angry,0.42
2026-03-07 17:41:54.309,sad,0.41
2026-03-07 17:41:54.365,angry,0.42
2026-03-07 17:41:54.417,angry,0.58
2026-03-07 17:41:54.469,sad,0.51
2026-03-07 17:41:54.520,sad,0.54
2026-03-07 17:41:54.572,angry,0.39
2026-03-07 17:41:54.620,sad,0.55
2026-03-07 17:41:54.671,sad,0.61
2026-03-07 17:41:54.719,sad,0.54
2026-03-07 17:41:54.765,sad,0.5
2026-03-07 17:41:54.810,sad,0.5
2026-03-07 17:41:54.857,sad,0.55
2026-03-07 17:41:54.898,sad,0.52
2026-03-07 17:41:54.941,sad,0.55
2026-03-07 17:41:54.984,sad,0.52
2026-03-07 17:41:55.029,sad,0.61
2026-03-07 17:41:55.074,sad,0.5
2026-03-07 17:41:55.115,sad,0.41
2026-03-07 17:41:55.156,sad,0.64
2026-03-07 17:41:55.196,sad,0.58
2026-03-07 17:41:55.235,sad,0.53
2026-03-07 17:41:55.278,sad,0.84
2026-03-07 17:41:55.316,sad,0.77
2026-03-07 17:41:55.359,sad,0.72
2026-03-07 17:41:55.401,sad,0.79
2026-03-07 17:41:55.441,sad,0.65
2026-03-07 17:41:55.479,sad,0.72
2026-03-07 17:41:55.523,sad,0.75
2026-03-07 17:41:55.561,sad,0.76
2026-03-07 17:41:55.606,sad,0.69
2026-03-07 17:41:55.644,sad,0.82
2026-03-07 17:41:55.684,sad,0.66
2026-03-07 17:41:55.723,sad,0.64
2026-03-07 17:41:55.765,sad,0.69
2026-03-07 17:41:55.813,sad,0.74
2026-03-07 17:41:55.853,sad,0.74
2026-03-07 17:41:55.890,sad,0.76
2026-03-07 17:41:55.928,sad,0.51
2026-03-07 17:41:55.968,angry,0.47
2026-03-07 17:41:56.002,angry,0.4
2026-03-07 17:41:56.037,angry,0.76
2026-03-07 17:41:56.073,angry,0.87
2026-03-07 17:41:56.110,angry,0.89
2026-03-07 17:41:56.147,angry,0.89
2026-03-07 17:41:56.190,angry,0.94
2026-03-07 17:41:56.225,angry,0.92
2026-03-07 17:41:56.262,angry,0.81
2026-03-07 17:41:56.298,angry,0.83
2026-03-07 17:41:56.332,angry,0.72
2026-03-07 17:41:56.370,angry,0.85
2026-03-07 17:41:56.405,angry,0.71
2026-03-07 17:41:56.441,angry,0.6
2026-03-07 17:41:56.479,sad,0.68
2026-03-07 17:41:56.513,angry,0.46
2026-03-07 17:41:56.551,angry,0.66
2026-03-07 17:41:56.586,angry,0.57
2026-03-07 17:41:56.632,angry,0.54
2026-03-07 17:41:56.672,angry,0.6
2026-03-07 17:41:56.707,angry,0.75
2026-03-07 17:41:56.741,angry,0.51
2026-03-07 17:41:56.776,angry,0.65
2026-03-07 17:41:56.811,angry,0.37
2026-03-07 17:41:56.848,sad,0.66
2026-03-07 17:41:56.884,angry,0.51
2026-03-07 17:41:56.922,sad,0.57
2026-03-07 17:41:56.956,sad,0.66
2026-03-07 17:41:56.991,happy,0.87
2026-03-07 17:41:57.025,happy,1.0
2026-03-07 17:41:57.058,happy,1.0
2026-03-07 17:41:57.092,happy,1.0
2026-03-07 17:41:57.126,happy,1.0
2026-03-07 17:41:57.165,happy,1.0
2026-03-07 17:41:57.202,happy,1.0
2026-03-07 17:41:57.242,happy,1.0
2026-03-07 17:41:57.284,happy,1.0
2026-03-07 17:41:57.323,happy,1.0
2026-03-07 17:41:57.365,happy,1.0
2026-03-07 17:41:57.399,happy,1.0
2026-03-07 17:41:57.434,happy,1.0
2026-03-07 17:41:57.470,happy,1.0
2026-03-07 17:41:57.511,happy,0.96
2026-03-07 17:41:57.552,happy,1.0
2026-03-07 17:41:57.593,happy,0.99
2026-03-07 17:41:57.634,happy,1.0
2026-03-07 17:41:57.675,happy,0.99
2026-03-07 17:41:57.715,happy,0.97
2026-03-07 17:41:57.755,happy,0.99
2026-03-07 17:41:57.793,happy,1.0
2026-03-07 17:41:57.842,happy,1.0
2026-03-07 17:41:57.881,happy,1.0
2026-03-07 17:41:57.922,happy,0.99
2026-03-07 17:41:57.958,happy,1.0
2026-03-07 17:41:57.995,happy,1.0
2026-03-07 17:41:58.035,happy,1.0
2026-03-07 17:41:58.074,happy,0.99
2026-03-07 17:41:58.074,sad,0.34
2026-03-07 17:41:58.111,happy,1.0
2026-03-07 17:41:58.151,happy,1.0
2026-03-07 17:41:58.192,happy,1.0
2026-03-07 17:41:58.229,happy,1.0
2026-03-07 17:41:58.265,happy,1.0
2026-03-07 17:41:58.302,happy,1.0
2026-03-07 17:41:58.336,happy,1.0
2026-03-07 17:41:58.371,happy,1.0
2026-03-07 17:41:58.404,happy,1.0
2026-03-07 17:41:58.440,happy,1.0
2026-03-07 17:41:58.474,happy,1.0
2026-03-07 17:41:58.510,happy,1.0
2026-03-07 17:41:58.546,happy,1.0
2026-03-07 17:41:58.583,happy,1.0
2026-03-07 17:41:58.625,happy,1.0
2026-03-07 17:41:58.665,happy,1.0
2026-03-07 17:41:58.702,happy,1.0
2026-03-07 17:41:58.737,happy,1.0
2026-03-07 17:41:58.772,happy,1.0
2026-03-07 17:41:58.807,happy,1.0
